k,precision,recall,map,ndcg
5,0.007874015748031496,0.03543307086614173,0.027559055118110236,0.030404355245250283
10,0.004724409448818898,0.036557930258717654,0.028871391076115485,0.033209136246100855
15,0.004724409448818898,0.05255996226278167,0.030849072187654862,0.03960150345173583
20,0.004330708661417323,0.06437098588482891,0.03170595037199946,0.04328246971366564
25,0.005039370078740157,0.08810089635834849,0.03346959355296548,0.051945336376212486
