k,precision,recall,map,ndcg
5,0.006299212598425198,0.027559055118110236,0.022309711286089235,0.02465299018560203
10,0.005511811023622048,0.03962407924815849,0.025293713285839268,0.03213195243586221
15,0.005249343832020998,0.05649697013679742,0.02707474065741782,0.03829064695591695
20,0.003937007874015748,0.05649697013679742,0.02707474065741782,0.03829064695591695
25,0.0034645669291338585,0.056604833366222504,0.027449693788276462,0.04005634635920494
