k,precision,recall,map,ndcg
5,0.007874015748031496,0.03543307086614173,0.028871391076115485,0.031496062992125984
10,0.004724409448818898,0.036557930258717654,0.030183727034120734,0.03430084399297655
15,0.004724409448818898,0.05255996226278167,0.03210175651120533,0.04062466953543193
20,0.004330708661417323,0.06437098588482891,0.03290987918008225,0.044239224353201316
25,0.0047244094488188984,0.08022688061031699,0.03437560505525694,0.051251957481942716
