k,precision,recall,map,ndcg
5,0.0001953125,0.00030517578125,0.000732421875,0.0007963524187360632
10,0.00014648437500000002,0.00054931640625,0.0006510416666666667,0.0008361398311601779
15,9.765625e-05,0.0005576937806372549,0.00043945312499999996,0.0006858571133010453
20,7.324218750000001e-05,0.0005576937806372549,9.765625e-05,0.0003634791619686493
25,7.8125e-05,0.0008018344056372549,0.0001936848958333333,0.0005401214185449802
