k,precision,recall,map,ndcg
5,0.00048828125,0.0009358723958333333,0.0012369791666666666,0.0015374571847546177
10,0.000537109375,0.0025431315104166665,0.001625279017857143,0.0024998199354138695
15,0.0005208333333333334,0.0038818359374999997,0.0028289662811147188,0.003941203341995454
20,0.0005126953125,0.00537109375,0.0022146630336830246,0.003882431404540771
25,0.0005078125,0.006119791666666667,0.0017426152672534896,0.003848973628986146
