k,precision,recall,map,ndcg
5,0.0001953125,0.00030517578125,0.000732421875,0.0007963524187360632
10,0.00014648437500000002,0.00054931640625,0.0006510416666666667,0.0008361398311601779
15,0.00013020833333333333,0.0006553500306372549,0.000927734375,0.0011741383633010454
20,9.765625e-05,0.0006553500306372549,0.00017903645833333332,0.0005374084525487382
25,7.8125e-05,0.0006553500306372549,0.0001692708333333333,0.0005187231027056973
